Latitude,Longitude
52.7038,7.272835
52.704815,7.273556
52.704884,7.273862
52.704132,7.275548
52.702568,7.281067
52.700165,7.282916
52.699417,7.28374
52.69899,7.28387
52.698635,7.28351
52.696903,7.284684
52.69524,7.284774
52.693886,7.285921
52.694092,7.288197
52.693733,7.289375
52.69339,7.291544
52.693493,7.291862
52.695293,7.294161
52.696976,7.295171
52.697727,7.296176
52.697926,7.297155
52.697853,7.298612
52.698002,7.299331
52.702236,7.306883
52.703896,7.313835
52.705067,7.317091
52.705517,7.317659
52.705868,7.317678
52.705753,7.319118
52.706181,7.321938
52.706505,7.327842
52.70739,7.354578
52.707298,7.356352
52.707878,7.357047
52.707657,7.356755
52.708763,7.359098
52.709942,7.360772
52.717415,7.370429
52.728088,7.380587
52.729111,7.382363
52.734077,7.392694
52.734924,7.394026
52.735512,7.394557
52.737518,7.395679
52.738365,7.395787
52.739929,7.395419
52.740418,7.395563
52.740845,7.395914
52.743851,7.39969
52.744289,7.399957
52.747124,7.400749
52.748211,7.401511
52.748642,7.402102
52.749725,7.407289
52.755325,7.424403
52.75679,7.427208
52.760239,7.431728
52.761425,7.434164
52.761658,7.43593
52.761601,7.44621
52.76276,7.453774
52.763618,7.456122
52.764782,7.458075
52.766251,7.458601
52.767097,7.458403
52.768215,7.458816
52.768253,7.462023
52.768726,7.464507
52.769402,7.466756
52.770042,7.470216
52.771252,7.47525
52.774818,7.488961
52.775242,7.490079
52.777386,7.494083
52.777554,7.494639
52.777969,7.495113
52.780499,7.50004
52.781258,7.502026
52.781425,7.503995
52.78083,7.515253
52.78091,7.523191
52.781124,7.525827
52.781643,7.52952
52.783596,7.53782
52.784431,7.543118
52.78516,7.546299
52.786301,7.55444
52.78643,7.557086
52.786819,7.560261
52.787106,7.561567
52.799278,7.584134
52.806881,7.594535
52.810638,7.599965
52.814728,7.610393
52.816139,7.615868
52.817135,7.617026
52.818592,7.616828
52.818932,7.623696
52.819332,7.626817
52.81987,7.628101
52.820988,7.629589
52.82201,7.631472
52.824047,7.635952
52.825886,7.642044
52.82777,7.64677
52.830383,7.656245
52.830433,7.657219
52.829159,7.663484
52.82925,7.665557
52.829369,7.665635
52.830586,7.665247
52.831657,7.66543
52.833775,7.667054
52.834549,7.668288
52.838226,7.669875
52.840813,7.671351
52.841133,7.67172
52.841686,7.671814
52.84412,7.673258
52.847393,7.674276
52.847824,7.67468
52.848858,7.676352
52.849678,7.677222
52.849945,7.677404
52.851013,7.677454
52.851131,7.678496
52.851673,7.678823
