Latitude,Longitude
53.551383,10.032179
53.55224,10.031533
53.552192,10.030071
53.552366,10.028476
53.552052,10.026799
53.552302,10.025949
53.552749,10.025944
53.552779,10.025788
53.553218,10.025914
53.554995,10.026571
53.556048,10.027201
53.556716,10.026406
53.562518,10.025114
53.56255,10.024947
53.563817,10.024611
53.564534,10.024203
53.564766,10.024234
53.56822,10.026239
53.568852,10.027251
53.569283,10.028374
53.569724,10.027839
53.57002,10.027699
53.570246,10.027798
53.57356,10.033614
53.573701,10.033624
53.574385,10.034632
53.574838,10.035642
53.576711,10.038063
53.579505,10.040022
53.579676,10.040631
53.579535,10.041181
53.579748,10.041491
53.580421,10.040514
53.58075,10.040419
53.582962,10.041576
53.584393,10.041786
53.585275,10.042339
53.585304,10.042506
53.586409,10.041509
53.587374,10.041457
53.588531,10.042056
53.591389,10.043967
53.591389,10.044451
53.592019,10.044233
53.593911,10.044193
53.596399,10.043322
53.599425,10.041291
53.603434,10.040535
53.605163,10.039902
53.607276,10.038883
53.607588,10.03878
53.607619,10.03897
53.608145,10.038912
53.608109,10.038069
53.608421,10.037985
53.60847,10.038297
53.608955,10.038329
53.608987,10.038517
53.610503,10.037309
53.612567,10.036617
53.615045,10.035299
53.62004,10.033759
53.620258,10.033834
53.622569,10.032951
53.62327,10.032924
53.623577,10.032581
53.625141,10.032251
53.625811,10.03171
53.626041,10.031712
53.6288,10.035391
53.629335,10.03532
53.630054,10.034911
53.630535,10.035027
53.631515,10.033297
53.632038,10.033183
53.632281,10.033554
53.632666,10.035263
53.632312,10.037648
53.63177,10.03978
53.631996,10.041481
53.633071,10.043342
53.634285,10.046136
53.634608,10.046462
53.635743,10.050063
53.635764,10.050714
53.636093,10.051787
53.636943,10.053735
53.637866,10.055135
53.638166,10.055877
53.638296,10.056372
53.63798,10.056597
53.637397,10.058844
53.638137,10.059402
53.638358,10.060523
53.638857,10.061352
53.639707,10.060837
53.640624,10.06135
53.640891,10.06175
53.640977,10.062411
53.640554,10.063498
53.640461,10.064302
53.64076,10.065754
53.640993,10.066221
53.641458,10.066588
53.641618,10.06746
53.642361,10.069026
53.644313,10.072576
53.644245,10.073212
53.644522,10.074418
53.644559,10.075439
53.644293,10.076412
53.644614,10.078735
53.644781,10.079823
53.645668,10.082215
53.646058,10.082462
53.647469,10.084023
53.647856,10.084254
53.648613,10.084158
53.648084,10.083197
53.648005,10.082644
53.648136,10.082261
53.649875,10.080863
53.652411,10.079774
53.652832,10.079764
53.654235,10.083142
53.654294,10.083739
53.653918,10.08462
53.653902,10.085362
53.654132,10.086073
53.654806,10.087076
53.655425,10.087467
53.656265,10.087395
53.657025,10.088391
53.657446,10.088365
53.657777,10.08959
53.658555,10.090117
53.658763,10.090896
53.659626,10.091206
53.660343,10.090246
53.661306,10.092021
53.662196,10.091893
53.663309,10.091441
53.663744,10.091762
53.664028,10.092194
53.664341,10.094065
53.665053,10.095488
53.66564,10.095985
53.66675,10.096511
53.667388,10.097246
53.667596,10.09706
53.668008,10.097588
53.668463,10.097585
53.668478,10.098229
53.668176,10.099126
53.668562,10.105662
53.669703,10.108159
53.670147,10.108627
53.670803,10.110089
53.673149,10.111353
53.674655,10.10772
53.676813,10.112055
53.677101,10.111675
53.677509,10.111897
53.678928,10.111685
53.679165,10.112048
53.679513,10.113884
53.680625,10.115507
53.681649,10.115578
53.682212,10.11532
53.683669,10.117498
53.685307,10.117475
53.685547,10.118025
53.687106,10.11935
53.687265,10.120189
53.687874,10.120695
53.688793,10.121047
53.689369,10.121753
53.689663,10.122678
53.690556,10.123158
53.691882,10.123433
53.692539,10.123765
53.695033,10.125955
53.695627,10.12729
53.697005,10.128701
53.698075,10.126883
53.698224,10.127024
53.698585,10.126869
53.699563,10.126962
53.708114,10.131208
53.708327,10.131053
53.70839,10.13037
53.708616,10.130035
53.709175,10.129914
53.70974,10.130055
53.710348,10.129113
53.711416,10.131019
53.712435,10.133358
53.713565,10.136745
53.714526,10.140535
53.718203,10.139281
53.719416,10.140294
53.724122,10.142009
53.725125,10.142757
53.728104,10.145868
53.728727,10.147146
53.730832,10.149183
53.733198,10.151828
53.734015,10.151959
53.735411,10.152998
53.737299,10.155168
53.737673,10.156049
53.739564,10.163533
53.7395,10.164772
53.740629,10.166654
53.741219,10.167157
53.742984,10.170672
53.745916,10.174122
53.746575,10.174382
53.747542,10.174302
53.748172,10.174023
53.749552,10.175138
53.750421,10.176993
53.751556,10.175795
53.75338,10.176114
53.753626,10.176452
53.753882,10.178756
53.754319,10.179652
53.76236,10.182828
53.762796,10.181248
53.763045,10.179138
53.763405,10.178803
53.764149,10.179502
53.764444,10.179523
53.764888,10.181105
53.766217,10.184249
53.766384,10.185028
53.766353,10.18603
53.767896,10.186918
53.768405,10.185984
53.769999,10.186066
53.77036,10.188805
53.772151,10.196945
53.774096,10.198318
53.774411,10.198689
53.775771,10.202115
53.77649,10.202468
53.776753,10.202934
53.777577,10.203455
53.779072,10.205633
53.78075,10.206808
53.782081,10.208055
53.783777,10.210239
53.785203,10.211746
53.787384,10.213663
53.788873,10.215915
53.789265,10.217178
53.789885,10.218203
53.79081,10.219204
53.792225,10.220301
53.79386,10.222862
53.798078,10.228112
53.799205,10.231404
53.799565,10.231893
53.800041,10.231756
53.800165,10.233555
53.799033,10.237334
53.798632,10.239362
53.798806,10.241087
53.798998,10.241524
53.798761,10.24242
53.798924,10.249389
53.79871,10.251812
53.797142,10.256682
53.796995,10.257742
53.797038,10.261909
53.797539,10.263388
53.797378,10.265415
53.797669,10.268869
53.79852,10.272659
53.798647,10.27474
53.798793,10.275025
53.803021,10.274397
53.803887,10.274425
53.80361,10.277387
53.804489,10.277774
53.805827,10.277833
53.806261,10.277741
53.806711,10.277388
53.807814,10.277564
53.808894,10.279108
53.809304,10.279123
53.80962,10.278929
53.810814,10.277576
53.812275,10.277407
53.814186,10.27778
53.815755,10.277112
53.816505,10.277411
53.817773,10.279101
53.818023,10.280628
53.818486,10.281481
53.818371,10.28269
53.818978,10.284914
53.819956,10.286856
53.820438,10.288492
53.822442,10.290199
53.823953,10.292051
53.824814,10.292599
53.828396,10.293617
53.832911,10.293888
53.834122,10.293873
53.834683,10.29359
53.835029,10.293699
53.83642,10.295002
53.837072,10.296389
53.838251,10.298104
53.838573,10.297222
53.83962,10.295708
53.850087,10.293711
53.851925,10.294191
53.852303,10.294182
53.852962,10.293734
53.853738,10.293816
53.854095,10.294267
53.854557,10.295794
53.854849,10.296232
53.855272,10.296233
53.855475,10.296049
53.856215,10.294287
53.861316,10.295974
53.86151,10.294875
53.863309,10.2954
53.863942,10.295774
53.865193,10.297781
53.866106,10.298757
53.872279,10.300114
53.872597,10.300049
53.874427,10.298433
53.874713,10.298336
53.875984,10.298982
53.877209,10.298664
53.877666,10.298689
53.881998,10.299551
53.88282,10.299569
53.886002,10.298311
53.888353,10.297916
53.890678,10.297019
53.895815,10.293455
53.896842,10.293226
53.899041,10.28992
53.899217,10.291098
53.90096,10.295085
53.902217,10.296984
53.90345,10.3011
53.90353,10.30189
53.9034,10.3026
53.903598,10.304183
53.903296,10.307628
53.903477,10.312802
53.903794,10.313394
53.904134,10.313656
53.906381,10.314552
53.909169,10.317585
53.913839,10.317494
53.91489,10.317709
53.915948,10.319339
53.916824,10.320351
53.917905,10.321072
53.91919,10.321658
53.920083,10.321573
53.921062,10.321252
53.923857,10.319819
53.927325,10.319599
53.927529,10.319392
53.927736,10.319571
53.929655,10.319305
53.929946,10.320186
53.931407,10.321402
53.9316,10.321335
53.932063,10.320611
53.932715,10.32154
53.932322,10.322449
53.932903,10.322703
53.933576,10.322633
53.933786,10.324865
53.934383,10.327251
53.934671,10.330023
53.936443,10.335553
53.937779,10.342301
53.937981,10.346171
53.938271,10.348416
53.939031,10.350447
53.945053,10.349472
53.946542,10.3491
53.948151,10.350148
53.949586,10.351964
53.949949,10.35216
53.950075,10.352543
53.952267,10.355313
53.95347,10.357549
53.958579,10.365867
53.959736,10.371692
53.959852,10.373683
53.960397,10.373798
53.961668,10.373102
53.963291,10.381386
53.966681,10.382861
53.971155,10.38303
53.97263,10.382286
53.973598,10.382049
53.975033,10.385513
53.979183,10.398863
53.979509,10.399243
53.979529,10.40002
53.99166,10.440474
53.991589,10.440834
53.992506,10.446241
53.992561,10.447355
53.99215,10.456653
53.992369,10.458362
53.999263,10.49085
53.999486,10.492732
53.99872,10.519729
53.999013,10.531253
54.000176,10.537483
54.00118,10.540206
54.013962,10.566967
54.014944,10.569284
54.015726,10.570884
54.01582,10.570776
54.015971,10.571108
54.015861,10.571278
54.017513,10.574756
54.018985,10.577804
54.019081,10.577701
54.019447,10.578435
54.019502,10.5788
54.023229,10.586804
54.028074,10.596739
54.036161,10.617668
54.036597,10.61917
54.042918,10.659482
54.043385,10.664886
54.041652,10.672767
54.041543,10.67811
54.040891,10.683954
54.039001,10.69123
54.039213,10.695852
54.039089,10.700047
54.038368,10.702742
54.038041,10.704975
54.037841,10.70495
54.037318,10.706815
54.036326,10.709266
54.035815,10.711279
54.035198,10.716297
54.034941,10.722992
54.034882,10.722517
54.034555,10.729713
54.034389,10.730749
54.03429,10.736548
54.033929,10.741625
54.035337,10.750997
54.035286,10.7514
54.038911,10.750173
54.044115,10.749581
54.044933,10.749675
54.045198,10.750293
54.045862,10.75038
54.046034,10.750032
54.048147,10.750538
54.050912,10.752085
54.051257,10.752114
54.052587,10.752773
54.052688,10.753091
54.056788,10.755938
54.057884,10.757152
54.061642,10.763289
54.062505,10.764968
54.062759,10.764926
54.064618,10.763398
54.065265,10.763736
54.065644,10.764671
54.066129,10.768029
54.066511,10.768794
54.066826,10.76911
54.067654,10.769395
54.068694,10.770481
54.069296,10.770477
54.06962,10.771263
54.074437,10.776251
54.077546,10.777549
54.080143,10.776895
54.081964,10.776245
54.084385,10.77603
54.085862,10.776271
54.086896,10.776949
54.088462,10.779544
54.089382,10.77997
54.090328,10.780167
54.091012,10.780635
54.091991,10.781911
54.093639,10.784812
54.094224,10.78752
54.09481,10.789104
54.096633,10.790979
54.097648,10.792273
54.099467,10.7934
54.106011,10.807081
54.106276,10.809176
54.106674,10.810676
54.105865,10.81144
54.104953,10.811424
54.104642,10.812322
54.105401,10.815843
54.105841,10.817015
54.105793,10.818649
54.106382,10.818576
54.108055,10.818975
54.110526,10.818563
54.110724,10.819307
54.110646,10.820483
54.111569,10.824868
54.112951,10.828872
54.114033,10.831259
54.114118,10.831594
54.113965,10.83196
54.114203,10.832245
54.114328,10.83213
54.114738,10.832688
54.116037,10.835397
54.116881,10.838034
54.117389,10.840364
54.118702,10.842599
54.121414,10.845239
54.122895,10.848737
54.123477,10.849142
54.124868,10.84869
54.125488,10.848993
54.126002,10.849044
54.128158,10.84798
54.129488,10.847703
54.131828,10.848102
54.134444,10.848788
54.137987,10.848309
54.13803,10.848132
54.143319,10.846105
54.144361,10.846187
54.146062,10.846851
54.148169,10.848524
54.1508,10.851362
54.151975,10.852863
54.154524,10.856685
54.156674,10.858761
54.159834,10.863888
54.160593,10.866165
54.160975,10.866793
54.161563,10.867214
54.162802,10.867425
54.163297,10.86773
54.166164,10.8704
54.167531,10.872258
54.1689,10.873428
54.173351,10.874486
54.175028,10.875053
54.178159,10.876631
54.17942,10.877548
54.181046,10.878106
54.182195,10.878819
54.182774,10.878892
54.185406,10.878225
54.186054,10.877933
54.186958,10.877186
54.189702,10.876146
54.193315,10.873847
54.194098,10.873613
54.194779,10.873651
54.195791,10.874031
54.197595,10.875828
54.198886,10.876631
54.201756,10.877325
54.20302,10.877377
54.203027,10.877216
54.204164,10.877223
54.205704,10.877783
54.205935,10.877706
54.206413,10.878195
54.210063,10.880243
54.21001,10.88036
54.212172,10.881907
54.216053,10.883424
54.217995,10.883305
54.219609,10.883457
54.219581,10.883352
54.220396,10.882942
54.221366,10.882847
54.223782,10.884026
54.223889,10.884318
54.224026,10.884182
54.225235,10.884606
54.229292,10.884934
54.229968,10.885252
54.231448,10.886484
54.232836,10.886914
54.235334,10.886702
54.238764,10.886746
54.241933,10.884135
54.243628,10.882315
54.2494,10.876932
54.25565,10.874284
54.256668,10.874301
54.257479,10.874516
54.25985,10.876207
54.260861,10.876754
54.276536,10.881391
54.277933,10.882144
54.278884,10.882056
54.280894,10.88033
54.283189,10.880036
54.283837,10.879049
54.284274,10.878791
54.284824,10.878757
54.285437,10.878834
54.285962,10.879211
54.2881,10.882061
54.288497,10.881151
54.289591,10.881719
54.28857,10.881153
54.288305,10.881653
54.289371,10.883023
54.290201,10.8838
54.290048,10.88418
54.290229,10.884388
54.289672,10.88578
54.290121,10.886434
54.290638,10.888488
54.289924,10.894723
54.290653,10.897698
54.292505,10.898013
54.29289,10.898308
54.293917,10.899717
54.294529,10.901229
54.295514,10.902453
54.296011,10.904246
54.297106,10.911211
54.299482,10.911647
54.305157,10.920651
54.306659,10.923366
54.307311,10.924141
54.307629,10.92562
54.308438,10.927143
54.308602,10.928631
54.308526,10.929401
54.308683,10.929338
54.308871,10.930762
54.309739,10.934252
54.311286,10.938035
54.312194,10.939726
54.312976,10.940693
54.31363,10.942332
54.313839,10.94348
54.313907,10.945346
54.314045,10.945328
54.313942,10.946578
54.314237,10.949362
54.315013,10.955383
54.315064,10.959511
54.315916,10.970398
54.316267,10.972937
54.316596,10.97445
54.317089,10.975773
54.317616,10.97702
54.318139,10.977815
54.318621,10.980087
54.320454,10.98399
54.320707,10.985024
54.320739,10.987864
54.321536,10.990169
54.322196,10.991537
54.322114,10.991626
54.323032,10.994763
54.323154,10.996858
54.322706,11.000962
54.323457,11.005322
54.324554,11.013405
54.324486,11.01367
54.323885,11.014124
54.323717,11.014667
54.324137,11.019322
54.332363,11.024275
54.33508,11.025639
54.336296,11.02603
54.338819,11.026378
54.339683,11.026342
54.339681,11.026181
54.340994,11.025975
54.341005,11.026155
54.341389,11.026093
54.343978,11.0251
54.345,11.024306
54.345682,11.023515
54.348205,11.018689
54.350935,11.015427
54.351788,11.014071
54.351623,11.013862
54.35184,11.013746
54.352255,11.012999
54.353189,11.015838
54.354317,11.017432
54.355743,11.019864
54.356206,11.02094
54.356646,11.02331
54.357672,11.025578
54.35839,11.030358
54.359212,11.031577
54.359693,11.033203
54.360875,11.036029
54.361289,11.039427
54.36217,11.041681
54.362754,11.04587
54.363356,11.048435
54.363754,11.051599
54.363607,11.05546
54.364154,11.059378
54.364577,11.064295
54.36401,11.073953
54.364437,11.075541
54.365506,11.077599
54.367112,11.081767
54.367593,11.082532
54.36888,11.083757
54.368986,11.084083
54.369107,11.08386
54.369865,11.084341
54.37087,11.084346
54.374726,11.085013
54.375599,11.084979
54.377948,11.086223
54.378735,11.087373
54.379813,11.087267
54.380196,11.087541
54.380318,11.087475
54.380203,11.088996
54.381938,11.092691
54.382151,11.092852
54.382538,11.092809
54.382997,11.093653
54.383209,11.094454
54.38377,11.095018
54.384202,11.094969
54.384895,11.095154
54.388081,11.096441
54.38798,11.101828
54.388024,11.102177
54.388903,11.103101
54.391444,11.105391
54.396512,11.108958
54.404663,11.114248
54.408034,11.11598
54.405601,11.114304
54.405286,11.113933
54.404794,11.113699
54.404428,11.113893
54.404284,11.114518
54.404469,11.11558
54.405057,11.116068
54.404588,11.118913
54.40343,11.122525
54.403475,11.12547
